Entry,Site name (site director(s) if multiple entries and/or sample),Lat.,Long.,Site type,Phocidae (Seal unspec.),Halichoerus grypus (Grey seal),Pagophilus groenlandicus (Harp seal),Phoca vitulina (Harbour seal),Pagophilus groenlandicus (Harp seal)/Phoca vitulina (Harbour seal),Phoca largha (Spotted seal),Pusa hispida (Ringed seal),Cetacea (Cetacean unspec.),Mysticeti (Baleen whale unspec.),Large whale,Small whale,Balaenoptera physalus (Fin whale),Physeter macrocephalus (Sperm whale),Hyperoodon ampullatus (Northern bottlenose whale),Delphinapterus leucas (Beluga whale),Delphinidae (Dolphin unspec.),Delphinus delphis (Common dolphin),Globicephala macrorhynchus (Short-finned pilot whale)/Orcinus orca (Orca),Lagenorhynchus acutus (Atlantic white-sided dolphin)/Lagenorhynchus albirostris (White-beaked dolphin),Lagenorhynchus albirostris (White-beaked dolphin),Lagenorhynchus albirostris (White-beaked dolphin)/Tursiops truncatus (Bottlenose dolphin),Orcinus orca (Orca),Stenella sp. (Springer),Tursiops truncatus (Bottlenose dolphin),Delphinus delphis (Common dolphin)/Phocoena phocoena (Common porpoise),Phocoena phocoena (Common porpoise)
77,Rødhals (1929),55.916153,11.082509,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,Rødhals (1938),55.916153,11.082509,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,"Rødhals (1939, portion A)",55.916153,11.082509,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Rødhals (1942),55.916153,11.082509,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Rødhals (1996),55.916153,11.082509,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Ronæs Skov,55.444324,9.806565,Submerged,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
83,Sejerø,55.916153,11.082509,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Signalbakken (Nationalmuseet),57.045817,9.957564,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Skaghorn,55.1668,9.9842,Waterlogged,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Smakkerup Huse,55.6846,11.2358,Waterlogged,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Sølager (Layer I),55.94971,11.898104,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,Sølager (Layer II),55.94971,11.898104,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Sølager (Layer III),55.94971,11.898104,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Sølager (Layer IV),55.94971,11.898104,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Spodsbjerg,54.9377,10.8262,Open air,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Strandegaard,55.192561,12.125671,Open air/shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,Svaleklint,55.833819,12.06512,Open air,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Troldebjerg,54.876,10.788,Open air,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Trustrup,55.626304,11.330559,Waterlogged,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Tybrind Vig,55.388427,9.818866,Submerged,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,Tybrind Vig,55.388427,9.818866,Submerged,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
98,Vængesø I,56.152455,10.541892,Shell midden,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Vængesø II,56.152455,10.541892,Shell midden,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
100,Vængesø III,56.152455,10.541892,Shell midden,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1
101,Vedbæk Henriksholm Bøgebakken,55.852603,12.559704,Burials/open air/shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Vedbæk Magleholm (E. B. Petersen & P. V. Petersen),55.852197,12.541648,Open air,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,Vedbæk Maglemosegård,55.848495,12.550836,Shell midden/waterlogged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Vedbæk Maglemosegårds Vænge,55.847631,12.554353,Open air,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,Vestre Strandalle,56.196164,10.236138,Shell midden,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,Vinkelhage,56.564308,8.295104,Submerged,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,Virksund,56.605305,9.273922,Shell midden,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Visborg (K. J. Gron & H. K. Robson),56.723671,10.150873,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Visborg (S. H. Andersen),56.726517,10.155961,Shell midden,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Visborg (S. H. Andersen),56.726517,10.155961,Shell midden,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,Visborg (S. H. Andersen),56.726517,10.155961,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Yderhede,57.483477,10.316915,Waterlogged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
